,source,target,weight,source_word,target_word,source_community,target_community
101,44,38,2,drop,seem,2,4
102,47,46,2,leave,one,3,4
103,47,32,2,leave,put,3,2
104,46,32,2,one,put,4,2
105,3,52,29,car,gas,2,2
106,3,49,2,car,learn,2,7
107,3,50,2,car,school,2,7
108,3,54,2,car,send,2,1
109,3,13,2,car,start,2,0
110,3,51,2,car,teacher,2,7
111,3,53,2,car,well,2,1
112,52,49,2,gas,learn,2,7
113,52,50,2,gas,school,2,7
114,52,54,2,gas,send,2,1
115,52,13,2,gas,start,2,0
116,52,51,2,gas,teacher,2,7
117,52,53,2,gas,well,2,1
118,49,50,2,learn,school,7,7
119,49,54,2,learn,send,7,1
120,49,13,2,learn,start,7,0
121,49,51,2,learn,teacher,7,7
122,49,53,2,learn,well,7,1
123,50,54,2,school,send,7,1
124,50,13,3,school,start,7,0
125,50,51,5,school,teacher,7,7
126,50,53,2,school,well,7,1
127,54,13,2,send,start,1,0
128,54,51,2,send,teacher,1,7
129,54,53,2,send,well,1,1
130,13,51,2,start,teacher,0,7
131,13,53,3,start,well,0,1
132,51,53,2,teacher,well,7,1
133,59,62,2,Earth,look,1,6
134,59,57,2,Earth,point,1,3
135,59,58,2,Earth,red,1,1
136,59,25,2,Earth,soon,1,1
137,59,56,2,Earth,sun,1,3
138,59,60,2,Earth,time,1,8
139,59,61,3,Earth,way,1,1
140,59,55,2,Earth,year,1,3
141,62,57,2,look,point,6,3
142,62,58,2,look,red,6,1
143,62,25,2,look,soon,6,1
144,62,56,2,look,sun,6,3
145,62,60,3,look,time,6,8
146,62,61,3,look,way,6,1
147,62,55,6,look,year,6,3
148,57,58,2,point,red,3,1
149,57,25,2,point,soon,3,1
150,57,56,2,point,sun,3,3
151,57,60,2,point,time,3,8
152,57,61,2,point,way,3,1
153,57,55,3,point,year,3,3
154,58,25,2,red,soon,1,1
155,58,56,2,red,sun,1,3
156,58,60,2,red,time,1,8
157,58,61,2,red,way,1,1
158,58,55,2,red,year,1,3
159,25,56,2,soon,sun,1,3
160,25,60,3,soon,time,1,8
161,25,61,2,soon,way,1,1
162,25,55,3,soon,year,1,3
163,56,60,3,sun,time,3,8
164,56,61,3,sun,way,3,1
165,56,55,2,sun,year,3,3
166,60,61,4,time,way,8,1
167,60,55,14,time,year,8,3
168,61,55,3,way,year,1,3
169,64,36,2,earth,mother,3,6
170,64,63,2,earth,play,3,6
171,36,63,2,mother,play,6,6
172,65,34,3,only,space,11,5
173,65,12,11,only,think,11,11
174,34,12,5,space,think,5,11
175,12,12,8,think,think,11,11
176,66,20,2,actually,end,10,4
177,66,67,2,actually,experience,10,4
178,20,67,2,end,experience,4,4
179,68,39,2,buy,own,5,10
180,69,70,2,die,wonder,0,6
181,72,0,2,UN,hate,10,6
182,72,8,2,UN,people,10,11
183,72,71,2,UN,tell,10,3
184,0,8,3,hate,people,6,11
185,0,71,2,hate,tell,6,3
186,8,71,6,people,tell,11,3
187,73,74,2,most,wrong,2,1
188,76,75,3,come,day,0,4
189,76,27,3,come,unfortunately,0,8
190,75,27,2,day,unfortunately,4,8
191,78,79,2,life,lol,4,7
192,78,48,4,life,’m,4,3
193,79,48,5,lol,’m,7,3
194,48,48,9,’m,’m,3,3
195,80,22,2,also,capitalism,11,1
196,80,81,4,also,cost,11,1
197,80,30,6,also,get,11,1
198,80,82,4,also,less,11,11
199,80,28,6,also,make,11,1
200,80,21,2,also,rid,11,1
201,80,24,2,also,sell,11,1
202,80,83,2,also,sense,11,1
203,22,81,5,capitalism,cost,1,1
204,22,30,2,capitalism,get,1,1
205,22,82,2,capitalism,less,1,11
206,22,83,2,capitalism,sense,1,1
207,81,81,2,cost,cost,1,1
208,81,30,4,cost,get,1,1
209,81,82,4,cost,less,1,11
210,81,28,9,cost,make,1,1
211,81,21,4,cost,rid,1,1
212,81,24,4,cost,sell,1,1
213,81,83,4,cost,sense,1,1
214,30,82,4,get,less,1,11
215,30,28,13,get,make,1,1
216,30,21,3,get,rid,1,1
217,30,24,2,get,sell,1,1
218,30,83,2,get,sense,1,1
219,82,28,4,less,make,11,1
220,82,21,2,less,rid,11,1
221,82,24,2,less,sell,11,1
222,82,83,2,less,sense,11,1
223,28,28,3,make,make,1,1
224,28,21,4,make,rid,1,1
225,28,24,4,make,sell,1,1
226,28,83,17,make,sense,1,1
227,21,83,2,rid,sense,1,1
228,24,83,2,sell,sense,1,1
229,37,87,2,bad,cause,1,5
230,37,84,4,bad,eat,1,9
231,37,89,2,bad,help,1,10
232,37,28,6,bad,make,1,1
233,37,86,2,bad,probably,1,1
234,37,85,8,bad,steak,1,1
235,37,88,2,bad,supply,1,1
236,87,84,4,cause,eat,5,9
237,87,89,5,cause,help,5,10
238,87,28,3,cause,make,5,1
239,87,86,2,cause,probably,5,1
240,87,85,6,cause,steak,5,1
241,87,88,2,cause,supply,5,1
242,84,84,8,eat,eat,9,9
243,84,89,4,eat,help,9,10
244,84,28,4,eat,make,9,1
245,84,86,4,eat,probably,9,1
246,84,85,8,eat,steak,9,1
247,84,88,4,eat,supply,9,1
248,89,28,4,help,make,10,1
249,89,86,2,help,probably,10,1
250,89,85,4,help,steak,10,1
251,89,88,2,help,supply,10,1
252,28,86,3,make,probably,1,1
253,28,85,6,make,steak,1,1
254,28,88,6,make,supply,1,1
255,86,85,4,probably,steak,1,1
256,86,88,3,probably,supply,1,1
257,85,85,2,steak,steak,1,1
258,85,88,4,steak,supply,1,1
259,91,90,9,bloom,flower,6,6
260,93,92,2,full,happen,8,3
261,95,3,6,allow,car,1,2
262,95,96,2,allow,even,1,4
263,95,98,2,allow,ever,1,4
264,95,52,2,allow,gas,1,2
265,95,35,2,allow,matter,1,2
266,95,94,2,allow,run,1,8
267,95,97,2,allow,south,1,0
268,95,71,2,allow,tell,1,3
269,3,96,2,car,even,2,4
270,3,98,2,car,ever,2,4
271,3,35,8,car,matter,2,2
272,3,94,4,car,run,2,8
273,3,97,2,car,south,2,0
274,3,71,2,car,tell,2,3
275,96,98,2,even,ever,4,4
276,96,52,2,even,gas,4,2
277,96,35,2,even,matter,4,2
278,96,94,3,even,run,4,8
279,96,97,2,even,south,4,0
280,96,71,2,even,tell,4,3
281,98,52,3,ever,gas,4,2
282,98,35,2,ever,matter,4,2
283,98,94,3,ever,run,4,8
284,98,97,2,ever,south,4,0
285,98,71,3,ever,tell,4,3
286,52,35,6,gas,matter,2,2
287,52,94,2,gas,run,2,8
288,52,97,2,gas,south,2,0
289,52,71,2,gas,tell,2,3
290,35,94,2,matter,run,2,8
291,35,97,2,matter,south,2,0
292,35,71,2,matter,tell,2,3
293,94,97,2,run,south,8,0
294,94,71,2,run,tell,8,3
295,97,71,2,south,tell,0,3
296,99,100,4,save,😭,3,9
297,101,102,2,idea,try,6,6
298,45,103,2,bit,drink,2,5
299,45,104,2,bit,more,2,5
300,45,13,2,bit,start,2,0
301,45,105,2,bit,water,2,5
302,103,104,2,drink,more,5,5
303,103,13,2,drink,start,5,0
304,103,105,5,drink,water,5,5
305,104,13,3,more,start,5,0
306,104,105,8,more,water,5,5
307,13,105,2,start,water,0,5
308,64,64,5,earth,earth,3,3
309,64,106,7,earth,eventually,3,3
310,64,108,4,earth,fact,3,0
311,64,107,4,earth,move,3,3
312,64,99,7,earth,save,3,3
313,106,108,2,eventually,fact,3,0
314,106,107,2,eventually,move,3,3
315,106,99,2,eventually,save,3,3
316,108,107,2,fact,move,0,3
317,108,99,2,fact,save,0,3
318,107,99,2,move,save,3,3
319,72,111,2,UN,take,10,5
320,72,109,4,UN,understand,10,9
321,72,110,2,UN,want,10,6
322,72,112,4,UN,world,10,10
323,111,109,2,take,understand,5,9
324,111,110,2,take,want,5,6
325,111,112,2,take,world,5,10
326,109,110,2,understand,want,9,6
327,109,112,3,understand,world,9,10
328,110,112,5,want,world,6,10
329,115,114,2,be,degree,0,0
330,115,116,11,be,snow,0,0
331,114,116,4,degree,snow,0,0
332,92,117,3,happen,💀,3,2
333,119,118,2,away,especially,7,0
334,119,33,2,away,trash,7,2
335,118,33,2,especially,trash,0,2
336,5,120,4,climate,good,3,8
337,5,1,2,climate,government,3,5
338,5,121,3,climate,name,3,9
339,120,1,2,good,government,8,5
340,120,121,2,good,name,8,9
341,1,121,2,government,name,5,9
342,76,71,4,come,tell,0,3
343,3,30,2,car,get,2,1
344,3,122,3,car,let,2,5
345,30,122,4,get,let,1,5
346,96,13,5,even,start,4,0
347,13,13,8,start,start,0,0
348,3,123,8,car,fuel,2,2
349,3,86,2,car,probably,2,1
350,3,99,2,car,save,2,3
351,123,52,2,fuel,gas,2,2
352,123,86,2,fuel,probably,2,1
353,123,99,2,fuel,save,2,3
354,52,86,2,gas,probably,2,1
355,52,99,2,gas,save,2,3
356,86,99,2,probably,save,1,3
357,124,64,2,become,earth,9,3
358,47,125,2,leave,long,3,6
359,47,94,2,leave,run,3,8
360,47,13,2,leave,start,3,0
361,47,111,3,leave,take,3,5
362,125,94,2,long,run,6,8
363,125,13,7,long,start,6,0
364,125,111,2,long,take,6,5
365,94,13,3,run,start,8,0
366,94,111,2,run,take,8,5
367,13,111,3,start,take,0,5
368,127,64,2,call,earth,3,3
369,127,106,2,call,eventually,3,3
370,127,30,3,call,get,3,1
371,127,120,2,call,good,3,8
372,127,128,3,call,need,3,9
373,127,129,2,call,next,3,3
374,127,126,2,call,rock,3,3
375,127,130,3,call,stop,3,3
376,64,30,3,earth,get,3,1
377,64,120,4,earth,good,3,8
378,64,128,3,earth,need,3,9
379,64,129,2,earth,next,3,3
380,64,126,4,earth,rock,3,3
381,64,130,2,earth,stop,3,3
382,106,30,2,eventually,get,3,1
383,106,120,2,eventually,good,3,8
384,106,128,2,eventually,need,3,9
385,106,129,2,eventually,next,3,3
386,106,126,2,eventually,rock,3,3
387,106,130,2,eventually,stop,3,3
388,30,120,3,get,good,1,8
389,30,128,11,get,need,1,9
390,30,129,5,get,next,1,3
391,30,126,2,get,rock,1,3
392,30,130,4,get,stop,1,3
393,120,128,6,good,need,8,9
394,120,129,2,good,next,8,3
395,120,126,2,good,rock,8,3
396,120,130,3,good,stop,8,3
397,128,129,3,need,next,9,3
398,128,126,2,need,rock,9,3
399,128,130,2,need,stop,9,3
400,129,126,2,next,rock,3,3
401,129,130,2,next,stop,3,3
402,126,130,2,rock,stop,3,3
403,132,131,2,due,hear,11,4
404,132,133,2,due,old,11,8
405,132,12,6,due,think,11,11
406,131,133,3,hear,old,4,8
407,131,12,2,hear,think,4,11
408,133,12,3,old,think,8,11
409,92,60,4,happen,time,3,8
410,92,113,2,happen,true,3,10
411,60,113,2,time,true,8,10
412,134,34,2,pay,space,9,5
413,134,61,2,pay,way,9,1
414,34,61,4,space,way,5,1
415,14,139,3,care,environment,2,2
416,14,137,3,care,man,2,7
417,14,65,3,care,only,2,11
418,14,138,2,care,pollute,2,10
419,14,136,2,care,real,2,9
420,14,140,2,care,💪,2,12
421,139,137,2,environment,man,2,7
422,139,65,4,environment,only,2,11
423,139,138,2,environment,pollute,2,10
424,139,136,2,environment,real,2,9
425,139,140,2,environment,💪,2,12
426,137,65,2,man,only,7,11
427,137,138,2,man,pollute,7,10
428,137,136,4,man,real,7,9
429,137,140,6,man,💪,7,12
430,65,138,2,only,pollute,11,10
431,65,136,3,only,real,11,9
432,65,140,2,only,💪,11,12
433,138,136,2,pollute,real,10,9
434,138,140,2,pollute,💪,10,12
435,136,140,2,real,💪,9,12
436,143,144,2,exist,rate,8,2
437,147,145,3,God,ask,1,3
438,147,149,2,God,funny,1,3
439,147,146,2,God,rain,1,0
440,147,148,2,God,really,1,10
441,147,12,2,God,think,1,11
442,145,149,2,ask,funny,3,3
443,145,146,2,ask,rain,3,0
444,145,148,2,ask,really,3,10
445,145,12,2,ask,think,3,11
446,149,146,2,funny,rain,3,0
447,149,148,2,funny,really,3,10
448,149,12,2,funny,think,3,11
449,146,148,2,rain,really,0,10
450,146,12,3,rain,think,0,11
451,148,12,6,really,think,10,11
452,3,150,3,car,sound,2,4
453,114,146,2,degree,rain,0,0
454,114,151,2,degree,read,0,4
455,146,151,2,rain,read,0,4
456,57,100,6,point,😭,3,9
457,100,100,102,😭,😭,9,9
458,152,73,2,friend,most,7,2
459,152,4,2,friend,never,7,0
460,152,63,4,friend,play,7,6
461,152,110,4,friend,want,7,6
462,152,70,2,friend,wonder,7,6
463,73,4,2,most,never,2,0
464,73,63,4,most,play,2,6
465,73,110,4,most,want,2,6
466,73,70,2,most,wonder,2,6
467,4,63,4,never,play,0,6
468,4,110,5,never,want,0,6
469,4,70,2,never,wonder,0,6
470,63,63,2,play,play,6,6
471,63,110,8,play,want,6,6
472,63,70,5,play,wonder,6,6
473,110,110,6,want,want,6,6
474,110,70,4,want,wonder,6,6
475,154,153,4,Palestine,stand,12,12
476,154,155,4,Palestine,❤,12,12
477,154,156,8,Palestine,️,12,12
478,154,157,4,Palestine,🇵,12,12
479,154,158,4,Palestine,🇸,12,12
480,154,140,4,Palestine,💪,12,12
481,153,155,4,stand,❤,12,12
482,153,156,8,stand,️,12,12
483,153,157,4,stand,🇵,12,12
484,153,158,4,stand,🇸,12,12
485,153,140,4,stand,💪,12,12
486,155,156,44,❤,️,12,12
487,155,157,4,❤,🇵,12,12
488,155,158,8,❤,🇸,12,12
489,155,140,4,❤,💪,12,12
490,156,156,29,️,️,12,12
491,156,157,8,️,🇵,12,12
492,156,158,12,️,🇸,12,12
493,156,140,8,️,💪,12,12
494,157,158,16,🇵,🇸,12,12
495,157,140,4,🇵,💪,12,12
496,158,140,4,🇸,💪,12,12
497,115,165,2,be,beach,0,0
498,115,164,2,be,bird,0,0
499,115,163,2,be,dead,0,0
500,115,69,2,be,die,0,0
501,115,161,5,be,last,0,0
502,115,104,4,be,more,0,5
503,115,166,2,be,sad,0,0
504,115,162,5,be,see,0,0
505,115,159,5,be,there,0,0
506,115,160,4,be,week,0,0
507,165,164,2,beach,bird,0,0
508,165,163,2,beach,dead,0,0
509,165,69,2,beach,die,0,0
510,165,161,2,beach,last,0,0
511,165,104,2,beach,more,0,5
512,165,166,2,beach,sad,0,0
513,165,162,4,beach,see,0,0
514,165,159,4,beach,there,0,0
515,165,160,4,beach,week,0,0
516,164,163,2,bird,dead,0,0
517,164,69,2,bird,die,0,0
518,164,161,2,bird,last,0,0
519,164,104,2,bird,more,0,5
520,164,166,2,bird,sad,0,0
521,164,162,3,bird,see,0,0
522,164,159,4,bird,there,0,0
523,164,160,4,bird,week,0,0
524,163,69,2,dead,die,0,0
525,163,161,3,dead,last,0,0
526,163,104,2,dead,more,0,5
527,163,166,3,dead,sad,0,0
528,163,162,3,dead,see,0,0
529,163,159,4,dead,there,0,0
530,163,160,4,dead,week,0,0
531,69,161,2,die,last,0,0
532,69,104,2,die,more,0,5
533,69,166,2,die,sad,0,0
534,69,162,3,die,see,0,0
535,69,159,6,die,there,0,0
536,69,160,6,die,week,0,0
537,161,104,7,last,more,0,5
538,161,166,4,last,sad,0,0
539,161,162,10,last,see,0,0
540,161,159,4,last,there,0,0
541,161,160,14,last,week,0,0
542,104,166,2,more,sad,5,0
543,104,162,5,more,see,5,0
544,104,159,8,more,there,5,0
545,104,160,4,more,week,5,0
546,166,162,10,sad,see,0,0
547,166,159,4,sad,there,0,0
548,166,160,6,sad,week,0,0
549,162,159,5,see,there,0,0
550,162,160,8,see,week,0,0
551,159,159,4,there,there,0,0
552,159,160,11,there,week,0,0
553,160,160,4,week,week,0,0
554,66,168,2,actually,extinction,10,2
555,66,92,7,actually,happen,10,3
556,66,167,2,actually,pollution,10,2
557,66,148,3,actually,really,10,10
558,168,92,2,extinction,happen,2,3
559,168,167,2,extinction,pollution,2,2
560,168,148,2,extinction,really,2,10
561,92,167,2,happen,pollution,3,2
562,92,148,5,happen,really,3,10
563,167,148,2,pollution,really,2,10
564,5,169,22,climate,clock,3,3
565,170,171,2,hit,multiple,0,3
566,170,60,5,hit,time,0,8
567,171,60,2,multiple,time,3,8
568,174,172,2,cool,spend,6,4
569,174,175,2,cool,thing,6,4
570,174,60,4,cool,time,6,8
571,174,173,2,cool,whole,6,4
572,172,175,2,spend,thing,4,4
573,172,60,4,spend,time,4,8
574,172,173,2,spend,whole,4,4
575,175,60,5,thing,time,4,8
576,175,173,11,thing,whole,4,4
577,60,60,7,time,time,8,8
578,60,173,4,time,whole,8,4
579,3,176,8,car,truck,2,2
580,52,176,6,gas,truck,2,2
581,179,177,2,forever,listen,7,3
582,179,137,2,forever,man,7,7
583,179,178,2,forever,talk,7,3
584,177,137,2,listen,man,3,7
585,177,178,4,listen,talk,3,3
586,137,178,2,man,talk,7,3
587,181,182,2,anti,black,5,4
588,181,180,2,anti,mass,5,2
589,181,35,2,anti,matter,5,2
590,182,180,2,black,mass,4,2
591,182,35,2,black,matter,4,2
592,180,35,2,mass,matter,2,2
593,184,185,2,absolutely,amazing,4,8
594,184,3,4,absolutely,car,4,2
595,184,188,2,absolutely,child,4,5
596,184,187,5,absolutely,give,4,3
597,184,186,2,absolutely,later,4,1
598,185,3,4,amazing,car,8,2
599,185,188,2,amazing,child,8,5
600,185,187,4,amazing,give,8,3
601,185,186,2,amazing,later,8,1
602,3,3,19,car,car,2,2
603,3,188,4,car,child,2,5
604,3,187,4,car,give,2,3
605,3,186,4,car,later,2,1
606,188,187,2,child,give,5,3
607,188,186,2,child,later,5,1
608,187,186,2,give,later,3,1
609,189,102,2,hold,try,9,6
610,17,3,2,bro,car,2,2
611,17,52,2,bro,gas,2,2
612,12,100,8,think,😭,11,9
613,12,190,2,think,😳,11,9
614,100,190,6,😭,😳,9,9
615,192,193,2,destroy,human,3,1
616,192,191,2,destroy,word,3,1
617,193,191,2,human,word,1,1
618,113,191,4,true,word,10,1
619,197,194,2,entire,greed,0,0
620,197,193,2,entire,human,0,1
621,197,31,2,entire,money,0,9
622,197,4,2,entire,never,0,0
623,197,32,2,entire,put,0,2
624,197,195,2,entire,rich,0,10
625,197,111,2,entire,take,0,5
626,197,196,2,entire,use,0,7
627,194,193,3,greed,human,0,1
628,194,31,2,greed,money,0,9
629,194,4,6,greed,never,0,0
630,194,32,2,greed,put,0,2
631,194,195,2,greed,rich,0,10
632,194,111,2,greed,take,0,5
633,194,196,2,greed,use,0,7
634,193,31,2,human,money,1,9
635,193,4,3,human,never,1,0
636,193,32,2,human,put,1,2
637,193,195,2,human,rich,1,10
638,193,111,2,human,take,1,5
639,193,196,2,human,use,1,7
640,31,4,2,money,never,9,0
641,31,32,2,money,put,9,2
642,31,195,2,money,rich,9,10
643,31,111,3,money,take,9,5
644,31,196,10,money,use,9,7
645,4,32,2,never,put,0,2
646,4,195,2,never,rich,0,10
647,4,111,2,never,take,0,5
648,4,196,2,never,use,0,7
649,32,195,2,put,rich,2,10
650,32,111,2,put,take,2,5
651,32,196,2,put,use,2,7
652,195,111,2,rich,take,10,5
653,195,196,7,rich,use,10,7
654,111,196,3,take,use,5,7
655,124,199,4,become,clothe,9,7
656,124,20,3,become,end,9,4
657,124,200,2,become,high,9,3
658,124,198,5,become,love,9,7
659,124,195,2,become,rich,9,10
660,124,24,2,become,sell,9,1
661,199,199,2,clothe,clothe,7,7
662,199,20,4,clothe,end,7,4
663,199,200,4,clothe,high,7,3
664,199,198,4,clothe,love,7,7
665,199,195,4,clothe,rich,7,10
666,199,24,4,clothe,sell,7,1
667,20,200,2,end,high,4,3
668,20,198,2,end,love,4,7
669,20,195,2,end,rich,4,10
670,20,24,2,end,sell,4,1
671,200,198,2,high,love,3,7
672,200,195,2,high,rich,3,10
673,200,24,2,high,sell,3,1
674,198,195,2,love,rich,7,10
675,198,24,3,love,sell,7,1
676,195,24,2,rich,sell,10,1
677,169,60,3,clock,time,3,8
678,202,55,6,already,year,3,3
679,87,203,2,cause,clean,5,2
680,87,204,3,cause,here,5,0
681,87,32,2,cause,put,5,2
682,87,34,2,cause,space,5,5
683,87,159,2,cause,there,5,0
684,87,205,2,cause,up,5,1
685,203,204,2,clean,here,2,0
686,203,32,2,clean,put,2,2
687,203,34,2,clean,space,2,5
688,203,159,2,clean,there,2,0
689,203,205,2,clean,up,2,1
690,204,32,5,here,put,0,2
691,204,34,4,here,space,0,5
692,204,159,2,here,there,0,0
693,204,205,3,here,up,0,1
694,32,159,2,put,there,2,0
695,32,205,4,put,up,2,1
696,34,159,2,space,there,5,0
697,34,205,2,space,up,5,1
698,159,205,4,there,up,0,1
699,37,37,4,bad,bad,1,1
700,37,208,5,bad,country,1,10
701,37,30,14,bad,get,1,1
702,37,206,6,bad,guy,1,2
703,37,207,8,bad,many,1,7
704,37,209,4,bad,past,1,1
705,37,175,11,bad,thing,1,4
706,37,55,4,bad,year,1,3
707,208,30,4,country,get,10,1
708,208,206,2,country,guy,10,2
709,208,207,8,country,many,10,7
710,208,209,2,country,past,10,1
711,208,175,8,country,thing,10,4
712,208,55,5,country,year,10,3
713,30,206,3,get,guy,1,2
714,30,207,4,get,many,1,7
715,30,209,2,get,past,1,1
716,30,175,15,get,thing,1,4
717,30,55,11,get,year,1,3
718,206,207,6,guy,many,2,7
719,206,209,2,guy,past,2,1
720,206,175,4,guy,thing,2,4
721,206,55,4,guy,year,2,3
722,207,207,2,many,many,7,7
723,207,209,4,many,past,7,1
724,207,175,8,many,thing,7,4
725,207,55,13,many,year,7,3
726,209,175,4,past,thing,1,4
727,209,55,5,past,year,1,3
728,175,175,7,thing,thing,4,4
729,175,55,10,thing,year,4,3
730,178,102,2,talk,try,3,6
731,210,211,2,post,though,9,6
732,80,213,2,also,comment,11,7
733,80,132,2,also,due,11,11
734,80,214,2,also,low,11,3
735,80,137,2,also,man,11,7
736,80,207,2,also,many,11,7
737,80,212,4,also,microplastic,11,5
738,80,104,4,also,more,11,5
739,80,15,2,also,too,11,2
740,213,132,2,comment,due,7,11
741,213,214,2,comment,low,7,3
742,213,137,2,comment,man,7,7
743,213,207,6,comment,many,7,7
744,213,212,2,comment,microplastic,7,5
745,213,104,2,comment,more,7,5
746,213,15,2,comment,too,7,2
747,132,214,2,due,low,11,3
748,132,137,2,due,man,11,7
749,132,207,2,due,many,11,7
750,132,212,2,due,microplastic,11,5
751,132,104,2,due,more,11,5
752,132,15,2,due,too,11,2
753,214,137,2,low,man,3,7
754,214,207,2,low,many,3,7
755,214,212,2,low,microplastic,3,5
756,214,104,2,low,more,3,5
757,214,15,2,low,too,3,2
758,137,207,5,man,many,7,7
759,137,212,2,man,microplastic,7,5
760,137,104,3,man,more,7,5
761,137,15,2,man,too,7,2
762,207,212,2,many,microplastic,7,5
763,207,104,5,many,more,7,5
764,207,15,5,many,too,7,2
765,212,104,4,microplastic,more,5,5
766,212,15,2,microplastic,too,5,2
767,104,15,2,more,too,5,2
768,147,64,3,God,earth,1,3
769,147,99,2,God,save,1,3
770,215,0,2,fail,hate,3,6
771,215,131,2,fail,hear,3,4
772,215,216,2,fail,😞,3,4
773,0,131,2,hate,hear,6,4
774,0,216,2,hate,😞,6,4
775,131,216,2,hear,😞,4,4
776,37,120,2,bad,good,1,8
777,75,217,6,day,first,4,4
778,75,204,2,day,here,4,0
779,217,204,2,first,here,4,0
780,219,12,2,predict,think,4,11
781,219,218,2,predict,tired,4,4
782,12,218,2,think,tired,11,4
783,154,20,2,Palestine,end,12,4
784,154,220,2,Palestine,hopefully,12,0
785,154,221,2,Palestine,keep,12,2
786,154,8,4,Palestine,people,12,11
787,154,25,2,Palestine,soon,12,1
788,20,220,2,end,hopefully,4,0
789,20,221,2,end,keep,4,2
790,20,8,2,end,people,4,11
791,20,25,4,end,soon,4,1
792,220,221,2,hopefully,keep,0,2
793,220,8,4,hopefully,people,0,11
794,220,25,2,hopefully,soon,0,1
795,221,8,3,keep,people,2,11
796,221,25,2,keep,soon,2,1
797,8,25,3,people,soon,11,1
798,225,223,2,free,heart,12,2
799,225,222,2,free,ppl,12,9
800,225,157,6,free,🇵,12,12
801,225,158,4,free,🇸,12,12
802,225,224,2,free,😏,12,12
803,223,222,2,heart,ppl,2,9
804,223,157,6,heart,🇵,2,12
805,223,158,4,heart,🇸,2,12
806,223,224,2,heart,😏,2,12
807,222,157,6,ppl,🇵,9,12
808,222,158,4,ppl,🇸,9,12
809,222,224,2,ppl,😏,9,12
810,157,157,6,🇵,🇵,12,12
811,157,224,6,🇵,😏,12,12
