,node_id,word,frequency,community
297,297,🤣,34,9
298,298,lose,17,7
299,299,’re,29,1
300,300,bless,12,1
301,301,woman,10,1
302,302,family,11,7
303,303,control,12,10
304,304,else,8,10
305,305,Florida,23,10
306,306,s,15,2
307,307,exactly,13,5
308,308,base,41,5
309,309,explain,30,11
310,310,issue,14,10
311,311,serious,10,4
312,312,throw,11,7
313,313,road,12,2
314,314,major,12,10
315,315,slide,9,5
316,316,bug,32,6
317,317,summer,22,0
318,318,pick,10,8
319,319,act,8,8
320,320,forest,15,5
321,321,once,11,3
322,322,pretty,19,6
323,323,cut,30,5
324,324,dry,11,0
325,325,level,13,1
326,326,solution,7,7
327,327,bring,16,1
328,328,account,11,5
329,329,grow,45,5
330,330,bc,25,6
331,331,president,8,1
332,332,Antarctica,9,6
333,333,early,11,4
334,334,right,45,2
335,335,now,72,6
336,336,speak,12,1
337,337,job,15,8
338,338,replace,7,8
339,339,remind,7,7
340,340,melt,13,11
341,341,generation,9,6
342,342,hot,32,4
343,343,everyday,9,2
344,344,find,29,9
345,345,🏻,15,9
346,346,problem,34,5
347,347,history,10,11
348,348,book,20,3
349,349,face,11,1
350,350,fr,8,6
351,351,truth,13,11
352,352,tree,67,5
353,353,few,24,11
354,354,sure,15,2
355,355,polar,10,0
356,356,bear,12,0
357,357,fan,8,8
358,358,watch,27,8
359,359,about,11,3
360,360,dad,14,6
361,361,lucky,8,1
362,362,question,12,4
363,363,lot,28,4
364,364,😅,28,0
365,365,ice,44,11
366,366,age,31,11
367,367,argument,11,1
368,368,mega,7,10
369,369,corporation,30,10
370,370,lmao,7,2
371,371,America,7,10
372,372,course,9,5
373,373,r,7,0
374,374,US,9,1
375,375,reach,8,3
376,376,nuclear,20,2
377,377,idk,12,6
378,378,maybe,10,10
379,379,oil,23,2
380,380,industry,9,4
381,381,little,11,8
382,382,side,25,11
383,383,natural,25,5
384,384,sigh,10,0
385,385,fun,10,0
386,386,storm,8,0
387,387,close,11,0
388,388,compare,14,0
389,389,plane,7,11
390,390,vehicle,9,2
391,391,contribute,13,11
392,392,amount,16,8
393,393,u,11,0
394,394,consider,8,4
395,395,field,7,5
396,396,beautiful,8,0
397,397,like,25,6
398,398,snake,9,6
399,399,grass,20,5
400,400,mention,11,10
401,401,energy,31,2
402,402,plan,14,3
403,403,poor,19,10
404,404,protect,12,2
405,405,global,28,7
406,406,warming,19,7
407,407,uk,7,0
408,408,system,12,2
409,409,scared,10,6
410,410,enough,16,5
411,411,Trump,7,12
412,412,lawn,31,6
413,413,crazy,17,10
414,414,private,9,6
415,415,clear,8,5
416,416,weather,36,4
417,417,plant,38,4
418,418,city,27,0
419,419,ocean,23,1
420,420,wanna,9,6
421,421,bee,10,6
422,422,fly,8,6
423,423,all,24,6
424,424,place,25,6
425,425,instead,22,5
426,426,flood,17,10
427,427,area,8,10
428,428,head,8,4
429,429,action,9,5
430,430,😩,13,4
431,431,garden,14,5
432,432,Spain,7,1
433,433,Europe,18,1
434,434,insect,9,6
435,435,warm,12,3
436,436,South,10,0
437,437,✨,7,9
438,438,revolution,7,9
439,439,winter,36,0
440,440,UK,25,0
441,441,🥶,7,0
442,442,jet,7,6
443,443,billionaire,15,6
444,444,season,9,1
445,445,planet,38,3
446,446,wish,14,0
447,447,everywhere,12,0
448,448,fast,21,1
449,449,kinda,12,4
450,450,c,8,3
451,451,least,8,1
452,452,extremely,7,4
453,453,fall,8,0
454,454,today,30,0
455,455,night,10,7
456,456,cry,16,3
457,457,waste,18,5
458,458,video,33,1
459,459,view,8,7
460,460,survive,10,3
461,461,map,9,11
462,462,research,29,4
463,463,blame,12,2
464,464,carbon,23,2
465,465,emission,20,2
466,466,lifetime,10,11
467,467,definitely,9,10
468,468,release,16,1
469,469,news,13,4
470,470,ready,9,0
471,471,luck,10,0
472,472,AC,10,8
473,473,create,13,5
474,474,line,12,1
475,475,sea,11,0
476,476,rise,7,1
477,477,fire,15,1
478,478,temperature,13,3
479,479,wood,7,4
480,480,😍,19,7
481,481,architecture,7,4
482,482,share,29,1
483,483,light,12,7
484,484,🤷,7,12
485,485,‍,10,12
486,486,♂,10,5
487,487,heat,36,3
488,488,chemical,7,5
489,489,open,16,8
490,490,CO2,9,3
491,491,green,19,2
492,492,source,7,2
493,493,🙄,12,7
494,494,mini,9,11
495,495,able,14,1
496,496,large,8,2
497,497,study,9,3
498,498,link,8,3
499,499,Ireland,7,0
500,500,cap,8,11
501,501,New,11,4
502,502,favorite,11,9
503,503,temp,7,4
504,504,honestly,12,1
505,505,yard,15,6
506,506,mow,9,6
507,507,dump,8,1
508,508,California,14,0
509,509,😂,24,1
510,510,normal,11,3
511,511,part,31,3
512,512,death,10,3
513,513,record,11,11
514,514,sorry,10,3
515,515,wind,10,4
516,516,common,7,1
517,517,knowledge,7,1
518,518,same,33,0
519,519,latitude,10,0
520,520,reality,7,9
521,521,council,7,9
522,522,example,7,10
523,523,fake,7,3
524,524,forget,8,5
525,525,response,11,1
526,526,miss,12,0
527,527,speed,7,1
528,528,perfect,7,1
529,529,paper,7,4
530,530,yesterday,7,0
531,531,agree,8,2
532,532,co2,14,2
533,533,student,10,3
