aweme_id,cid,create_time,text,reply_comment_total
7433915371595271467,7434588307030491946,2024-11-07,"i skipped to the end, do i still deserve it?",49
7426167450623954207,7426190795412030251,2024-10-16,Where did all the money go that was in there in the first place?,48
7427912759372745989,7428267434128573216,2024-10-21,Como me encuentre otra referencia a evangelion me lo veo,47
7427912759372745989,7428317452671681285,2024-10-21,Es azuka no?,45
7426167450623954207,7426192383513756446,2024-10-16,but we can give billions to country's over seas but when it comes to their own people they don't want to give them money,45
7426167450623954207,7426184191077958431,2024-10-16,where did that money go? how much was there and how much was spent elsewhere?,45
7426167450623954207,7426176032128320299,2024-10-16,They said they had enough money to operate and they’ve only used one or 2% of the budget they have 🤔 so what is it,43
7426167450623954207,7426188737052541726,2024-10-16,"Come on , I mean it’s recess , you think they work for the people ??",42
7426859199247715626,7427915873254064928,2024-10-20,Is her User donthurtemnia,40
7424419750303878408,7424765217605960481,2024-10-12,"já jsem věřící, myslím si že bůh nám to vrací že už toho má dost, málo lidí jsou věřící a děláme chřichy a věci co bychom dělat neměli, jak tady čtu tak prý by se měl objevit Ježíš? je to pravda?",39
7422329569190874398,7422331575767188267,2024-10-05,Todd is tampa cooked?,38
7426167450623954207,7426247966728831775,2024-10-16,"Why do the American people always have to beg for their own tax dollars to be used on them, when it's basically a blank check for everyone else?",38
7424419750303878408,7424733219406365446,2024-10-12,Milton: normal. Just a tornado. Sahara desert: normal. Flooded 50 years ago and here we are. Jacob star: actually Sirius. Mysterious ring are mosquitoes and btw nobody knows the day not even Jesus,37
7423940143821770026,7424471064924996382,2024-10-11,fema not out of $$. it's not a loan only the SBA is a loan. if you have house insurance it's an ADVANCE since ins takes a while to cut a check. never been a loan. stop spreading misinformation.,36
7425319802358582561,7425381120085279520,2024-10-13,Well done take 🇮🇱 to hell,36
7423123307991502123,7423156162667987742,2024-10-07,"I’ve been thru 2 floods (Pa). Trust me, you’ll need all the help you can get & doesn’t matter who calls.",35
7422329569190874398,7423093026186085166,2024-10-07,I think we need to start taking climate change seriously 😂,34
7423123307991502123,7423369160438170414,2024-10-08,You shouldn’t even have to wait for him to respond. Just send assistance! Lives are on the line and these petty games aren’t worth it 😭,33
7423123307991502123,7423646965999551263,2024-10-09,Why would he answer? For him to just hear her say….we are giving your people $750 or less this time? I’d avoid her call too,31
7434395515745324330,7434662056344994616,2024-11-07,call me good boy,31
7426167450623954207,7426185591096279854,2024-10-16,"where did the money go, and why are we distributing money to other countries than their own ppl",29
7426167450623954207,7426235837996483370,2024-10-16,The govt sure takes a lot of paid vacations… meanwhile I can’t get healthcare at my job,28
7423123307991502123,7423176369675731743,2024-10-07,"good for him. we'll help them. when the government ""helps"" u gotta pay it back. if I want a loan I can't pay back I'll get a student loan.",28
7423392429912378667,7423506836760281886,2024-10-08,"Heavenly Father, I ask you put a protective hedge around anyone in the path of Hurricane Milton. I plead Psalm 91 over each and every person! In Jesus’ Name! Amen 🙏🏻",27
7434395515745324330,7434443788837225246,2024-11-07,"im ngl i was expecting a ""good boy""",27
7425693857322437921,7443713427109217070,2024-12-02,Why does it sound like there’s a T. Rex in the background and as if I would know what a T-Rex sounds like🤔,27
7425319802358582561,7425364348666004257,2024-10-13,Well done Hezbollah 💪🏾👏🏽👏🏽👏🏽,26
7423392429912378667,7423574854529860395,2024-10-09,"When you pass through deep waters, I will be with you; and through the rivers, they shall not overwhelm you; when you walk through fire you shall not be burned, and the flame shall not consume you",26
7426167450623954207,7426210447181349675,2024-10-16,"As a small business owner, many won’t make it that long and won’t get enough to rebuild their business.",25
7425693857322437921,7434701968247505719,2024-11-08,Is this real?😳,25
7427912759372745989,7428369683777127175,2024-10-21,nhìn yagi nước mình nó 6 đau 6 đớn 🙏😭,24
7423123307991502123,7423391776377930527,2024-10-08,"Country before politics, People before politics!!!! Human being and safety before politics!!! So sad.
Beside, even if he is not answering can't they just go help?!!!",23
7422329569190874398,7422333961713697566,2024-10-05,so is tampa under sea level.What's the problem in tampa area,23
7423123307991502123,7423915144663253803,2024-10-09,She wasn’t offering help. It’s all PR. She has no authority to offer help. She is neither president nor in charge of any related agency.,22
7427912759372745989,7428306938282689326,2024-10-21,should i cry or fart,22
