,cleaned_text
198,Endocrinologist here sedimentary lifestyle cholesterol level gene
199,solution eat macro plastic real man
200,fyi be also microplastic steak
201,soo microplastic go bring wave femboy
202,seem kind of random just gain ~10 k follower try see other account grow
203,actually make thing bad
204,man love micro plastics 😍 😍 😍
205,case whole world panic
206,do thank
207,explain
208,one know world end even Bible know
209,even go adult
210,year graduate
211,hepend
212,do
213,just fudge point bc
214,wait cs yea 😭 😭 😭 😭 😭 😭
215,run president get vote
216,be flower bloom Antarctica
217,flower bloom Antarctica
218,theflowersarebloominginantarctica
219,no matter hard work never have % world wealth
220,feel wrong early
221,make man president right now
222,vote
223,turn new series 🤣
224,glad only 🤣 😭
225,s real episode name re real
226,call let hear
227,only speak money use intelligence job
228,very old need replace everyone good interest
229,remind live again big property california Say seaside state
230,melt generation
231,say last year world blow MY savings m gona trust
232,negative 😞 😏
233,’ hot
234,say everyday
235,find people 🙏 🏻 🙏 🏻 🙏 🏻
236,irony buy more steak package flimsy plastic foam film combat problem cause microplastic
237,see oncel propaganda picture history book
238,biggering sute
239,infront face
240,lorax absolutely right go very serious situation stop too late🫤
241,fr whole movie talk truth
242,always send depressive spiral
243,اللہ علی قدیر control world even single leaf tree move order Allah الحمداللہ ء سبحان اللہ
244,keep care few tree die sure polar bear work
245,Joe Biden probably big fan lorax🫠
246,watch movie about week ago dad laugh say lucky ’ real tell really happen turn tv
247,want MR BEAST PRESIDENT
248,have serious question predict hard fart eat lot bean 🫘 😅
249,think
250,car next 😭
251,have ice age earth go cycle
252,entire counter argument climate change ’m greedy lazy care future generation dead then
253,’ hot= climate change
254,individual mega corporation pollute wealthy country own corporation
255,have birthmark buttcheek lmao
256,behalf Australia America just mate just manage buy house
257,mean happen before happen again 🤗
258,golf course r bane existence
259,history teacher tell bad US president
260,bro even go adult climate clock reach
261,people only argument nuclear chernobyl
262,know well word develop country use econ idk feel bad
263,disagree conservative know say climate change contention
264,like bug mosquito
265,fascinating have catch though wait maybe ’ just oil industry suppress initiative 💰 political power 🧐
266,see snow years.ti little unsettling
267,side note glove touch runner hand use serve edible water
268,want outside cat eat flower die so Lee natural fern grow there
269,wildfire spread cali way Ontario
270,OGs big sigh fun last storm start close see other side og start edge FORTNITE
271,compare corporation do plane only vehicle contribute significant amount
272,cold u sayin 🙏
273,say go happen then again then again then again
274,also fail consider injury field bc most submersible DIDN’T PEOPLE
275,Myrtle Beach nasty Drive OBX want beautiful beach
276,thnx like see snake grass
277,also mention invest more renewable energy other country plan market implementation say energy unli
278,recount guy
279,God forgive no matter sin
280,maybe country contribute percent much contribute England send there business poor country
281,poor rich people
282,be congressman try disprove climate change bring snowball congress
283,need protect make establishment uncomfortable come first put senate then more
284,tell world end know
285,buy gas shell really just consume majority
286,global warming do
287,20c uk weekend die
288,’m GenX. fight system decade millennial kid understand so trigger so angry so tired
289,muslim know tanda kn allahu
290,WHATS YALL FAVORITE COLOR
291,buy real tree
292,’ generation say
293,day cold day hot change
294,teen m so scared future thing different do do pick trash street enough so hard
295,imagine Trump take office again even canadian terrified
296,nuh need clean lawn
297,Donald Trump say happen laugh
298,wasp mosquito go fo crazy
299,even have point
300,comment section listen present be so much good
301,one go talk PUBLIC FLESHLIGHT
302,m bad guy want buy desiel corolla let boring pop star use private plane
303,just drink water come
304,hear Manitoba bomb Ontario
305,think lot boomer know think just learn cope ignore seem clear solution
306,even predict tomorrow weather accurately do year Lmao
307,need massive desalination plant major sw city be shortage ocean water
308,look cool like idea wanna go bc want bee bug fly all place idk
309,imagine actually argument though great point
310,behalf rest world America get completely new candidate
311,tree sight
312,new tech uranium choose specifically weaponization capability military need switch instead
313,mud hut hold flood prone area
314,tell head ice age right
315,do
316,mean pay action greedy
317,even hedge 🙏 😹 experience biodiversity immediately 😩 clean aisle garden
318,guy environment runner imagine candybar wrap many less wrapper
319,get rich burn canola oil
320,people believe climate clock lol
321,Spain Europe
322,bf let have wild garden leave fr
323,be climate emergency climate change climate change forever continue change
324,talk snake poisonous insect 🙂
325,get rich burn coal oil also colonialism worth mention
326,do mother
327,frozen water take more space warm water take more space
328,nunavut here evacuate
329,year wild difference
330,Baby South Carolina experience Hurricane Helena right now type Lord Pray 🙏 🏾 ✨ ️
331,life find way
332,revolution win peaceful resolution
333,great be plastic concerned clean need kind packaging transport gettin
334,still winter UK 🥶
335,get enough money buy coastal house Nantucket enough plant few tree
336,now try private jet billionaire rocket
337,Simpsons believe
338,hate insect especially butterfly ’ want
339,already give humanity wait end
340,s step
341,even wildfire season climate change get bad
342,child Kali seem base
343,climate change use TOO MUCH
344,feel so conflicted teacher so underfunded throw away administration so much use
345,’m say grade school think fail planet wildlife profit
346,so guy leave message low climate issue hmm so just natural cycle then
347,reckon summer go cold spring ’ time winter hot summer just get see play nsw
348,so make money fossil fuel now go end become fossil fuel right
349,wait hold say cost more do 🤣 🤣
350,love say obama favourite book obama ever do remotely ambitious
351,m just supporter nuclear energy
352,wish get ceos charge corporation care
353,so still reeze cold
354,really think let happen
355,do everywhere
356,thank talk so fast adhd brain happy
357,candle chocolate kinda seem gift parent give teachers.sad
358,just replant tree sure
359,now happen genuinely ask do insurance just buy new house
360,inflation Reduction Bill really tax climate bill raise corporate tax go increase product cost
361,just try get US all together
362,think ment c c ok
363,least obvious wasp post
364,have do
365,good extremely hot fall bc climate change
366,protect climate important time instability today ’ weakness military run oil run clean
367,shell owner sleep night know lead extinction
368,quit waning make dad cry compete level pun
369,fail miserably human
370,’ soo easy spend waste tax payer
371,lucky u ’m verge put Xmas tree up here uk
372,make electricity least last year
373,video terrific
374,ontario
375,people other side street probably love view though
376,planet go survive always find way
377,pandemic arc end now climate change arc ramp
378,map upside down
379,love keep change name narrative global warming wait climate change keep
380,also India currently invest billion nuclear power include thorium reactor research
381,be point anymore just get bad
382,blame poor instead company make % carbon emission year
383,st Waly hmary parosio ny logo ko chai deny k Liye hum sy cup Liye
384,left call climate change global warming
385,’ crazy think polar bear probably go extinct lifetime time
386,stand film
387,know come
388,so mean care do
389,buy tree cut waste
390,last check portugal Europe so make sense people think align Europe
391,very long idea Windsor montreal
392,literally go master thesis project definitely want find way combine traditional modern architectural design effective manner
393,company still build house want so bad
394,
395,night hell sleep
396,stop plan even know make end year let alone
397,have 4year leave planet earth climate clock say so
398,see allergist today say increase allergy symptom year also climate change
399,get well government release Nikola Telsa research enjoy free energy instead 😁
400,research mean youtube facebook fox news
401,maybe earth cycle warm cool really fast point fast other maybe iceage get ready hit kinda due
