aweme_id,cid,create_time,text,reply_comment_total
7423135946989751582,7423186333638476590,2024-10-07,"A hurricane needs a bunch of ingredients... not just clouds/water... the ocean needs to be warm enough, wind sheer, low/high pressure systems to promote strength as well as guide the storm... How? lol",29
7434114730727394592,7434137415466287904,2024-11-06,It’s a dark day that I support something just stop oil has done,28
7424137487708163361,7424277237690319624,2024-10-10,"y'all,this is normal....,this happens every year,this is called events👽",28
7422040876949572907,7422089856173736734,2024-10-05,"I've been asking people everywhere on TikTok. Who is ""they""?",28
7433153306261769478,7433467509556478726,2024-11-04,O cara de bone parece o Ryden do GTA san Andreas.,28
7423763675086884138,7423769823585518367,2024-10-09,he said SEA FRONT...not BEACH front....listen,27
7431593649193962774,7431666159634727702,2024-10-30,"li avrei fatti sedere sui tavoli almeno non con le gambe in ammollo, poveri",26
7427855009364135200,7427861326426489632,2024-10-20,"Avete visto come nella vita , nn importa il colore della pelle ! Ma il cuore ♥️che uno ha dentro .",25
7420143167535648046,7420378605567640362,2024-09-30,"I live in PR
no more paper towels
we still have homes with tarps for roofs",25
7419096882678369568,7420074982199313170,2024-09-29,Holy See and nothing?,25
7431593649193962774,7431605247338267424,2024-10-30,Dobbiamo pregare per tutti voi e per il mondo intero che Gesù vi aiuterà amen 🙏🏻🙏🏻,25
7423135946989751582,7423143257742738207,2024-10-07,"the level of insane tech it would take to create the EXACT PERFECT weather conditions(which haha its nature good luck) to create AND maintain(!) in the MIDDLE of the ocean, naw we're not that far.",25
7424137487708163361,7424315924189299476,2024-10-11,"Dear God, please protect us all in your hands. amen",24
7424424790070529312,7424549563460829985,2024-10-11,"Why is norway, Sweden and Denmark on the antarctica is turning green",24
7433847522554121504,7434348108002050871,2024-11-07,почему отмены нету? мы бессмертия где-то по дороге подобрали или как?,23
7420143167535648046,7420465744636838698,2024-09-30,My thing was he didn't initially want to accept that PR is apart of the US. 🤔🤔 Like what???!!!,23
7424424790070529312,7425210790896091909,2024-10-13,"Milton= País de Oz
Sahara con agua= bye bye calentamiento global
Antártida verde=más oxígeno y un mundo más verde no hay por qué quejarse xikos",22
7423135946989751582,7423206650091930410,2024-10-08,It is possible for us to make it rain anytime (cloud seeding) so this could be possible in some way.,22
7424137487708163361,7424235253620982561,2024-10-10,Why is this happening... 😕,22
7419096882678369568,7420686090526606101,2024-10-01,Holy Sea and the greatest country in the world.,22
7423763675086884138,7423764533255029534,2024-10-09,"😭 He thinks when he loses he wins , it all makes sense in his head",21
7419096882678369568,7419631384481071880,2024-09-28,it's Vatican City not holy see and the other country is air,21
7434632512497863979,7435081518593753902,2024-11-09,this year was the coldest september for me,21
7434114730727394592,7434119822814642966,2024-11-06,ahh proves how left the UK is becoming allowing this to happen time and time again. vote reform,20
7419367750834851105,7420469342024057605,2024-09-30,tengo una pregunta y esto en que ayuda al medio ambiente? que tiene que ver el arte con el cambio climático? me perdí de algo?,20
7434114730727394592,7434195029835891502,2024-11-06,"nothing says ""Hey I am for the environment"" like spraying orange dye! Hypocrisy!!",20
7434331532178771232,7434616060121137923,2024-11-07,"the planet is going to survive, it always find a way, but we wont.",19
7434632512497863979,7437061546642490168,2024-11-14,NOOOO 2° C how scary 😱 the worlds gonna end!!!,18
7426237632792874246,7426283963503477524,2024-10-16,We all know what happened at 3mile 😂😂,17
7421694485505183022,7421834278361907999,2024-10-04,did time start in 1971??? what happened prior?,17
7434632512497863979,7439902829898433310,2024-11-22,The earth has a natural cycle,17
7422210738606837010,7422536071822623506,2024-10-06,ถ้าทุกคนกินพืชผักหมด พื้นที่ตรงนั้นก็จะไปปลูกผักเพื่อมาให้คนกินแทนมั้ยคะ😅,16
7427855009364135200,7427912327901086496,2024-10-20,Merita la cittadinanza e sicuramente un premio per il coraggio e l’ altruismo.,16
7424137487708163361,7424283086600422176,2024-10-10,i think all of them are honestly good thinks because nature is procecting + recovering itself. antartica was probably frozen because of the meteaours that hit the earth million years ago-,16
7431288494904937761,7431388759587799815,2024-10-30,"I'm at the top of Mount Fuji and it all seems to be fine, there's snow everywhere...",16
7434114730727394592,7434115990767911713,2024-11-06,fast track their jail time,15
7431288494904937761,7432219151786033925,2024-11-01,"It’s truuuu, u can check mt fuji live cam 😭",15
7423282755397618987,7423785286201344799,2024-10-09,ThEy SeEdEd ThE cLoUdS tO sTeAl ThE lAnD aNd LiThIuM derp,15
7433847522554121504,7434248804183868215,2024-11-06,У НАС В КАРАГАНДЕ ПОХОДУ УРАГАН МИЛТОН БУДЕТ,15
7432675896617700650,7433141480636810030,2024-11-03,Our capitalist society would never,14
7431976825590418730,7432027407295709958,2024-10-31,🙏🙏😢😢 Lord Jesus The Time Is At Hand And we need you more every Day.Calling On Uour Holy Name Help Spain Thankyou Praise glory is Yours,14
7426237632792874246,7426302835417432863,2024-10-16,But but wind and solar hahah,14
7434632512497863979,7435750340304274208,2024-11-10,"Little ice age ended around 1850, of course the earth will get warmer…",14
7429377005856083243,7429459672362828577,2024-10-24,are you kidding me with these comments. do these people actually believe this isn’t a problem?,14
7423763675086884138,7434112455023969056,2024-11-06,"And ladies and gentlemen, this is americas new president. It’s unbelievable",14
7430382490457541921,7430599848774501153,2024-10-27,Les gens qui parlent de l’accord du musée vous avez rien compris au message sérieux…,14
7430382490457541921,7430618528670040864,2024-10-28,oui enfin après jeter de la soupe c'est pas hyper écologique et tout donc bon ça sert à rien de faire ça pour militer peu importe la cause. si on veut militer faut savoir le faire correctement,14
7430783802944851232,7430817997402604320,2024-10-28,Io che guardo il video sul cesso,13
7428899122347773205,7428919415007249169,2024-10-23,bakit pa may ulan pa😭😭😭😭😭😭😭😭 sana walang bagyo dito sa mundo😭😭😭😭😭😭😭😭😭,13
7433501352086490398,7433503315788727086,2024-11-04,"This is probably one of points where I agree where jobs right now needed the most instead of ""planning"" putting plants on a window",13
7430382490457541921,7430813620210221856,2024-10-28,Ouah les gens ont rien compris …. Protéger la planète et prévenir est moins important qu un film,13
7434114730727394592,7434119265072218913,2024-11-06,it could be worse the US could have the UK government 😂😂😂😂😂,13
7419096882678369568,7419409623646241569,2024-09-27,Holy sea and nothing,13
7429377005856083243,7429378982330385182,2024-10-24,They already said this before,13
7426237632792874246,7426277878911255316,2024-10-16,I don't understand if we humans are destroying the environment why do we need data centres that use up insane amounts of electricity,12
7422040876949572907,7422065211206877970,2024-10-04,HAARP,12
7434331532178771232,7434598647309910817,2024-11-07,Children today probably won't grow up like the old people today.,12
7427855009364135200,7427918172337079072,2024-10-20,Complimenti a te e vergogna a chi non ha mosso un dito per aiutarti!,12
7434114730727394592,7434117783233004321,2024-11-06,The first thing these people have done that I agree with,12
7421694485505183022,7421900551871185694,2024-10-04,You’re missing Katrina for me of the deadliest storms since Galveston in the early 1900’s,12
7429377005856083243,7429378713752961824,2024-10-24,😂 More like geo engineering 😏,11
7424137487708163361,7424260267636196138,2024-10-10,"I don't think it's a moon it might be a biblical angel, it could also be the star of Jacob for it also say that the messiah will come for his people and i think it says his sight will be a star.",11
7425669721883790624,7429907353107972896,2024-10-26,"his explanation of halal meat isn’t entirely correct. as muslims we have a set of rules on how we should treat the animal before it’s slaughtered. so in order for our meat to be halal, we need to 1/",11
7423135946989751582,7423878466870821663,2024-10-09,"I want people who argue that it isn't possible to explain why it is not possible.
It's more convincing with modern tech that it is possible to modify the weather, then convincing someone it isn't.",11
7433847522554121504,7434241378148795191,2024-11-06,В астане люди улетают крыши домы а 1смен в школу вызывает,10
7424137487708163361,7424219682561114902,2024-10-10,but the second moon is do small we will not be able to see it,10
7423763675086884138,7423767153898275627,2024-10-09,How? How is this real life?,10
7433501352086490398,7434076416058114848,2024-11-06,oh no,10
7434114730727394592,7434116322785526561,2024-11-06,The futures bright the futures orange 🥰,10
7423282755397618987,7423430470916490014,2024-10-08,"When you don’t understand anything, everything looks like a conspiracy. Just remember when you are of average intelligence, half the people you meet are dumber. 😂💙💙💙",10
7420143167535648046,7420220374367240990,2024-09-30,There’s SO much that ppl need to remember!!,10
7423282755397618987,7423407615231836970,2024-10-08,The USDA hardiness zone maps (a measure of the lowest avg temp) have shifted warmer for the second time in 10 years (that’s bad),10
7430382490457541921,7430430633523413792,2024-10-27,"Bah enfin, on se doute bien que c'était en accord avec le musée, et que ça n'avait pas de réel impact, y avait pas l'intention de nuire a l'œuvre.",9
7434114730727394592,7434120811702059808,2024-11-06,Yes its happening 😁 he’s already pissing off the right people. 😂,9
7423135946989751582,7423148929863746350,2024-10-07,"I’m gonna need you to find a plot of grass somewhere far, far away from a computer",9
7423282755397618987,7423628838116442923,2024-10-09,Did you miss the part where they think the NOAA planes that were collecting data were actually secret govt planes cloud seeding 😩😭,9
7431593649193962774,7431615441397580566,2024-10-30,"Nuuuuu🥺🥺la maggior parte anziani con disabilità, mi piange il cuore🥺🥺🥺",9
7423763675086884138,7423791155798688515,2024-10-09,why are people 👏?!?!?!? why????????,8
7423282755397618987,7423743175007847210,2024-10-09,PNW here. I’ve noticed the change too. 112° days during summer in Portland . October used to get frosty at night in 90s and early 2000s. It was 80 on Monday. Climate change is NOW.,8
7424137487708163361,7424294733029065503,2024-10-10,"Guys, for people in the comment section who are sad because we ""did this"" Earth is always changing and even if we did do this earth is able to wipe us out if it wants. Maybe thats what its doing.🤷🏻",8
7434331532178771232,7434550774753379104,2024-11-07,are you saying i don't even have an opportunity for a future anymore.,8
7430382490457541921,7430448596866237216,2024-10-27,"Le truc c’est que la c’etais en accord avec le musée , c’etais LÉGALE",8
7428899122347773205,7429124419728114440,2024-10-23,pls pray for Luzon and Visaya🥺,8
7420143167535648046,7420531096871977759,2024-09-30,i spend 8 months without electricity and 4 months without whater! cellphone signal almost 2 months! and he was just tossing paper towels like a joke in a conference in PR,8
7430382490457541921,7430437665881604897,2024-10-27,Comment comparer l’incomparable,8
7425036749019172128,7425222865526702880,2024-10-13,our houses r made out of bricks not cardboard 🤣🤣🤣,7
7423282755397618987,7423415339088855839,2024-10-08,""" When you understand nothing EVERYTHING is a conspiracy theory """,7
7423282755397618987,7423741908473758495,2024-10-09,They have the intelligence of single cell organisms 🦠,7
7434632512497863979,7436102355857294083,2024-11-11,theres an astronomical explanation for this. there have been tons of climate changes like this in earths lifetime. the earth heats up and afterwards there is an ice age.,7
7423763675086884138,7423813814380004138,2024-10-09,Vote Blue,7
7429377005856083243,7429381040731243307,2024-10-24,Why they still giving out 30+ year mortgage loans then?,7
7424424790070529312,7424666011112620805,2024-10-11,"In May, Brazil also had a flood, a flood in Rio Grande do Sul",7
7421694485505183022,7421768174888157983,2024-10-04,Rita in 05 was the strongest hurricane ever.,7
7422210738606837010,7422352085469479698,2024-10-05,จริง ไปเที่ยวเหนือ ภูเขาโล้นจะหมดล่ะ ปลูกอะไรก็ไม่รู้,7
7433153306261769478,7433430350401635078,2024-11-04,nome do filme?,7
7433847522554121504,7434382916312367928,2024-11-07,у нас отменили школу из-за ветра,7
7429377005856083243,7429584250808222471,2024-10-25,"No such thing. Temperature changes planet wide are natural, adapt",7
7424137487708163361,7424453446206374662,2024-10-11,اكتوبر لي فات علينا و دا لينا,7
7431976825590418730,7432166580224181009,2024-11-01,"this is so sad , my prayers go to people and animals 🙏",6
7434632512497863979,7435277460772668191,2024-11-09,yeah so we’re done basically,6
7434632512497863979,7437183007095685930,2024-11-14,Global warming isn’t a crisis global cooling is,6
7423135946989751582,7423314251278549793,2024-10-08,"Ah ye, i love being recommendend conspiracy theories on my for you. you are an absolute 🤡 if you believe any of this",6
7431976825590418730,7432015450806190879,2024-10-31,God bless them all.,6
7434114730727394592,7434123171778315041,2024-11-06,"Now they gonna a have to clean that with chemicals and water 😅
Brainless",6
7426237632792874246,7426392410974585643,2024-10-16,So they’re be operational in like 8 years when wind/solar/battery will be dirt cheap? Good monetary move 💀,6
7423135946989751582,7423465526054011680,2024-10-08,even if it was possible with they'r tech why wpuld the government want to cause billions to damages to the country it reigns over? makes no sense at al,6
7419367750834851105,7419450553468338977,2024-09-27,"dude this just made me mad, it made me just want to do the oposite thing they were asking, it's one of my favorite pieces :/",6
7427855009364135200,7427934786054062880,2024-10-20,"Gli ANGELI TERRENI non hanno colore , religione e nazionalità 🖤",6
7430382490457541921,7430435308938478369,2024-10-27,Ben ce sons deux chose 2 chose différentes puisque l'un es fait avec l'accord du musée l'autre non,6
7424424790070529312,7424694817588773640,2024-10-12,Nz and Aussie just chillin fr,6
7428899122347773205,7429476825175032577,2024-10-24,San lugar yn idol😥🙏,6
7434331532178771232,7434579548077753120,2024-11-07,"No but how do we actually fix this, 4 years isn’t zero.",6
7431976825590418730,7447128805481628421,2024-12-11,"El presidente valenciano publicó un tuit a las 13:00 horas diciendo que a partir de las 18:00 horas empezaría a parar de llover, el aviso llegó a las 20:00 horas cuando ya había gente atrapada, borró",5
7430382490457541921,7430499536089776928,2024-10-27,"Alors si elle avait signé sur la vraie vie de la Joconde, j’aurais été d’accord, sauf que là y avait l’accord avec le musée, c’était un truc crypté filmer il y avait aucun visiteur",5
7423282755397618987,7423567169580139307,2024-10-09,This needs to be viral,5
7431976825590418730,7432411022776681223,2024-11-01,"God please forgive us, we know all this are punishments 🙏😭",5
7424137487708163361,7424700491903025938,2024-10-12,"Так в Антарктиде простое изменение климата, и биологи сами говорят что зелености боятся не стоит😀 Ураганы, торнадо были не один раз за всю историю земли, наводнения тоже самое, 2 луны это обычное",5
7430382490457541921,7430395439386149665,2024-10-27,Quand j’ai vu la condamnation 2 ans ferme j’étais chokbar,5
7434331532178771232,7434652348323201824,2024-11-07,Tbf decent theory is just that naturally the earth does this and that part isn’t a theory the earth goes through natural periods of heating and cooling but yes climate change is 100% real and I think-,5
7422210738606837010,7422473718432498439,2024-10-06,แงงง แล้วข้าวโพด เป็นเจไหม ถ้าทุกคนกินเจ ก็ต้องทำแปลงเกษตรกรรมยุดีไหม,5
7421694485505183022,7421740790827434783,2024-10-04,Wrong track for Andrew. Let us know when you have some actual intelligence,5
